Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
1,4.08E-06,3.48E-05,0,1.17E-05,1.88E-05,0,7.89E-05,3.10E-05,3.23E-05,9.92E-05,7.72E-05,5.25E-05,0.000112058,5.91E-05,2.36E-06,4.43E-05,1.78E-05,3.40E-05
2,0,0,2.95E-06,0,0,0,6.97E-06,0.000481663,5.12E-06,0.000179019,2.71E-06,6.90E-06,9.84E-06,0.000108964,0,3.92E-05,3.27E-06,3.29E-06
3,0,0,0,0,0,0,0.000548583,0.000306253,0.000335718,9.91E-05,0.000307221,0.000239629,0.0003067,4.10E-05,0,0.000321863,0.000424159,0.000392623
4,0.000160403,0.000116002,0.000117741,0.000147245,8.64E-05,0.000122587,0.000307079,0.000121675,0.000107733,0.000183864,0.000129384,8.56E-05,0.000238996,0.000111824,0.0001651,0.000219215,0.000116971,0.000130093
5,6.25E-05,0.000137982,0.000147152,0,0,0,0,0,0,0.000579168,0.000477793,0.000407817,0,0,2.20E-05,0.000214166,0.000306288,0.000450875
6,0.00053301,0.000426542,0.000595777,0.000736601,0.002022805,0.000711542,9.82E-05,6.22E-05,4.75E-05,8.38E-05,4.27E-05,4.88E-05,5.03E-05,4.62E-05,7.61E-05,0.000102746,6.37E-05,5.20E-05
7,0,0,0,0,0,0,1.81E-05,1.20E-05,8.18E-06,1.45E-05,9.97E-06,9.59E-06,1.70E-05,1.19E-05,0,1.11E-05,1.17E-05,6.73E-06
8,6.27E-06,4.99E-06,4.77E-06,0,1.88E-06,6.96E-06,4.36E-06,3.34E-06,5.17E-06,5.53E-06,4.91E-06,1.72E-06,0,0,4.48E-06,2.70E-06,2.24E-06,0
9,1.07E-05,1.83E-05,2.87E-05,6.87E-06,1.54E-05,2.20E-05,5.21E-06,0,2.60E-06,0,2.07E-06,4.33E-06,0,0,7.66E-07,0,0,0
10,3.53E-05,2.17E-05,2.65E-05,2.81E-05,2.71E-05,2.47E-05,8.45E-05,2.38E-05,2.80E-05,4.37E-05,2.56E-05,1.47E-05,5.64E-05,1.73E-05,3.34E-05,4.34E-05,2.23E-05,2.63E-05
11,2.39E-05,1.94E-05,2.53E-05,2.56E-05,1.96E-05,2.38E-05,1.71E-05,9.86E-06,9.62E-06,6.98E-06,1.41E-05,4.96E-06,1.43E-05,7.15E-06,6.27E-06,1.02E-05,1.24E-05,1.53E-05
12,2.88E-05,1.78E-05,3.80E-06,1.22E-05,0,5.28E-06,0,0,0,0,0,0,0,0,8.12E-07,0,0,0
13,3.05E-05,0,2.14E-05,0,3.33E-05,3.74E-05,0,0,4.85E-06,0,1.05E-05,1.03E-05,0,0,1.30E-05,0,0,6.51E-06
